customer_id,customer_age,customer_income,home_ownership,employment_duration,loan_intent,loan_grade,loan_amnt,loan_int_rate,term_years,historical_default,cred_hist_length,Current_loan_status,income_category,loan_category,Interest_Rate_Category(%),age_group,employment_duration_bucket,cred_hist_bucket
398.0,21,16800,MORTGAGE,0.0,VENTURE,A,6000,10.39,1,N,4,DEFAULT,"$0 - $20,000","$5,001 - $10,000",9.01 - 13,18 - 24,0 - 5,0 - 5
411.0,22,17400,MORTGAGE,6.0,VENTURE,A,1000,11.36,2,NEW,2,NO DEFAULT,"$0 - $20,000","$0 - $5,000",9.01 - 13,18 - 24,6 - 10,0 - 5
428.0,22,18000,OWN,3.0,PERSONAL,A,3000,7.9,2,N,4,DEFAULT,"$0 - $20,000","$0 - $5,000",5 - 9,18 - 24,0 - 5,0 - 5
436.0,22,18000,OWN,1.0,HOMEIMPROVEMENT,A,3500,7.49,2,N,4,DEFAULT,"$0 - $20,000","$0 - $5,000",5 - 9,18 - 24,0 - 5,0 - 5
437.0,23,18000,OWN,3.0,EDUCATION,A,4000,5.99,3,N,2,DEFAULT,"$0 - $20,000","$0 - $5,000",5 - 9,18 - 24,0 - 5,0 - 5
443.0,21,18000,OWN,3.0,HOMEIMPROVEMENT,C,4900,14.54,1,Y,4,DEFAULT,"$0 - $20,000","$0 - $5,000",13.01 - 17,18 - 24,0 - 5,0 - 5
447.0,24,18000,OWN,0.0,HOMEIMPROVEMENT,A,6250,6.54,4,N,4,DEFAULT,"$0 - $20,000","$5,001 - $10,000",5 - 9,18 - 24,0 - 5,0 - 5
454.0,23,18000,MORTGAGE,1.0,MEDICAL,C,2500,15.95,3,N,2,DEFAULT,"$0 - $20,000","$0 - $5,000",13.01 - 17,18 - 24,0 - 5,0 - 5
461.0,24,18000,OWN,6.0,PERSONAL,A,13000,7.88,10,N,3,DEFAULT,"$0 - $20,000","$10,001 - $15,000",5 - 9,18 - 24,6 - 10,0 - 5
462.0,21,18000,OWN,0.0,VENTURE,A,6250,10.62,1,N,4,DEFAULT,"$0 - $20,000","$5,001 - $10,000",9.01 - 13,18 - 24,0 - 5,0 - 5
466.0,21,18000,OWN,1.0,PERSONAL,A,2500,11.36,1,NEW,3,NO DEFAULT,"$0 - $20,000","$0 - $5,000",9.01 - 13,18 - 24,0 - 5,0 - 5
470.0,24,18000,MORTGAGE,0.0,DEBTCONSOLIDATION,A,10000,12.18,4,N,2,DEFAULT,"$0 - $20,000","$10,001 - $15,000",9.01 - 13,18 - 24,0 - 5,0 - 5
474.0,22,18000,OWN,1.0,MEDICAL,C,5400,15.31,2,Y,2,DEFAULT,"$0 - $20,000","$5,001 - $10,000",13.01 - 17,18 - 24,0 - 5,0 - 5
481.0,24,18000,MORTGAGE,3.0,VENTURE,B,1200,11.34,4,Y,4,NO DEFAULT,"$0 - $20,000","$0 - $5,000",9.01 - 13,18 - 24,0 - 5,0 - 5
485.0,22,18000,OWN,1.0,DEBTCONSOLIDATION,A,3000,9.96,2,N,3,DEFAULT,"$0 - $20,000","$0 - $5,000",9.01 - 13,18 - 24,0 - 5,0 - 5
489.0,23,70000,RENT,7.0,DEBTCONSOLIDATION,B,22500,14.27,9,N,2,DEFAULT,"$60,001 - $80,000","$20,001+",13.01 - 17,18 - 24,6 - 10,0 - 5
490.0,24,18287,OWN,3.0,HOMEIMPROVEMENT,A,3000,11.99,4,N,3,DEFAULT,"$0 - $20,000","$0 - $5,000",9.01 - 13,18 - 24,0 - 5,0 - 5
491.0,26,69846,RENT,2.0,EDUCATION,E,22500,18.99,9,Y,2,DEFAULT,"$60,001 - $80,000","$20,001+",17.01 - 21,25 - 34,0 - 5,0 - 5
492.0,24,73000,RENT,0.0,VENTURE,D,22400,16.7,9,Y,4,DEFAULT,"$60,001 - $80,000","$20,001+",13.01 - 17,18 - 24,0 - 5,0 - 5
493.0,24,18500,MORTGAGE,8.0,PERSONAL,A,5000,9.32,4,N,3,DEFAULT,"$0 - $20,000","$5,001 - $10,000",9.01 - 13,18 - 24,6 - 10,0 - 5
494.0,23,35000,RENT,2.0,DEBTCONSOLIDATION,B,22250,12.69,9,N,3,DEFAULT,"$20,001 - $40,000","$20,001+",9.01 - 13,18 - 24,0 - 5,0 - 5
495.0,25,43000,RENT,9.0,HOMEIMPROVEMENT,B,22000,13.11,9,N,2,DEFAULT,"$40,001 - $60,000","$20,001+",13.01 - 17,25 - 34,6 - 10,0 - 5
496.0,25,52000,RENT,4.0,PERSONAL,A,22000,10.74,9,N,2,DEFAULT,"$40,001 - $60,000","$20,001+",9.01 - 13,25 - 34,0 - 5,0 - 5
497.0,21,18701,MORTGAGE,0.0,PERSONAL,C,4200,14.11,1,Y,4,DEFAULT,"$0 - $20,000","$0 - $5,000",13.01 - 17,18 - 24,0 - 5,0 - 5
498.0,22,57000,RENT,6.0,EDUCATION,A,22000,9.63,9,N,3,DEFAULT,"$40,001 - $60,000","$20,001+",9.01 - 13,18 - 24,6 - 10,0 - 5
499.0,25,58000,RENT,0.0,MEDICAL,B,22000,14.65,9,N,2,DEFAULT,"$40,001 - $60,000","$20,001+",13.01 - 17,25 - 34,0 - 5,0 - 5
500.0,23,60000,RENT,6.0,DEBTCONSOLIDATION,A,22000,10.25,9,N,4,DEFAULT,"$60,001 - $80,000","$20,001+",9.01 - 13,18 - 24,6 - 10,0 - 5
501.0,24,60000,RENT,3.0,VENTURE,B,22000,14.26,9,Y,2,DEFAULT,"$60,001 - $80,000","$20,001+",13.01 - 17,18 - 24,0 - 5,0 - 5
502.0,25,18840,MORTGAGE,5.0,EDUCATION,A,3000,9.91,5,N,2,DEFAULT,"$0 - $20,000","$0 - $5,000",9.01 - 13,25 - 34,6 - 10,0 - 5
503.0,26,56000,RENT,7.0,MEDICAL,D,22000,17.19,9,N,3,DEFAULT,"$40,001 - $60,000","$20,001+",17.01 - 21,25 - 34,6 - 10,0 - 5
504.0,22,70000,RENT,3.0,EDUCATION,A,22000,11.36,9,N,4,DEFAULT,"$60,001 - $80,000","$20,001+",9.01 - 13,18 - 24,0 - 5,0 - 5
506.0,23,74064,RENT,3.0,DEBTCONSOLIDATION,A,22000,10.59,9,NEW,3,NO DEFAULT,"$60,001 - $80,000","$20,001+",9.01 - 13,18 - 24,0 - 5,0 - 5
507.0,24,76597,RENT,5.0,EDUCATION,A,22000,9.25,9,NEW,2,NO DEFAULT,"$60,001 - $80,000","$20,001+",9.01 - 13,18 - 24,6 - 10,0 - 5
508.0,22,19000,OWN,6.0,MEDICAL,A,3625,8.49,2,N,3,DEFAULT,"$0 - $20,000","$0 - $5,000",5 - 9,18 - 24,6 - 10,0 - 5
509.0,26,77000,RENT,0.0,VENTURE,A,22000,6.54,9,NEW,3,NO DEFAULT,"$60,001 - $80,000","$20,001+",5 - 9,25 - 34,0 - 5,0 - 5
510.0,21,19000,OWN,5.0,MEDICAL,A,6000,8.49,1,N,3,DEFAULT,"$0 - $20,000","$5,001 - $10,000",5 - 9,18 - 24,6 - 10,0 - 5
512.0,26,82600,RENT,10.0,VENTURE,A,22000,12.69,9,NEW,2,NO DEFAULT,"$80,001+","$20,001+",9.01 - 13,25 - 34,11 - 15,0 - 5
513.0,24,19000,OWN,3.0,MEDICAL,B,7400,13.85,4,N,2,DEFAULT,"$0 - $20,000","$5,001 - $10,000",13.01 - 17,18 - 24,0 - 5,0 - 5
514.0,25,19000,OWN,3.0,DEBTCONSOLIDATION,A,4000,7.4,5,N,3,DEFAULT,"$0 - $20,000","$0 - $5,000",5 - 9,25 - 34,0 - 5,0 - 5
515.0,23,84000,RENT,3.0,DEBTCONSOLIDATION,A,22000,11.71,9,NEW,4,NO DEFAULT,"$80,001+","$20,001+",9.01 - 13,18 - 24,0 - 5,0 - 5
516.0,25,77650,RENT,8.0,PERSONAL,A,22000,11.48,9,N,3,DEFAULT,"$60,001 - $80,000","$20,001+",9.01 - 13,25 - 34,6 - 10,0 - 5
517.0,25,82000,RENT,1.0,EDUCATION,D,22000,17.51,9,N,2,DEFAULT,"$80,001+","$20,001+",17.01 - 21,25 - 34,0 - 5,0 - 5
518.0,21,19012,MORTGAGE,0.0,DEBTCONSOLIDATION,C,3500,14.61,1,N,3,DEFAULT,"$0 - $20,000","$0 - $5,000",13.01 - 17,18 - 24,0 - 5,0 - 5
519.0,23,99996,RENT,3.0,DEBTCONSOLIDATION,A,22000,7.88,9,NEW,4,NO DEFAULT,"$80,001+","$20,001+",5 - 9,18 - 24,0 - 5,0 - 5
521.0,22,19200,MORTGAGE,6.0,PERSONAL,A,4950,11.71,2,N,2,DEFAULT,"$0 - $20,000","$0 - $5,000",9.01 - 13,18 - 24,6 - 10,0 - 5
522.0,25,57000,RENT,4.0,PERSONAL,A,21700,11.99,9,N,2,DEFAULT,"$40,001 - $60,000","$20,001+",9.01 - 13,25 - 34,0 - 5,0 - 5
523.0,24,54000,RENT,5.0,VENTURE,B,21600,13.49,9,N,2,DEFAULT,"$40,001 - $60,000","$20,001+",13.01 - 17,18 - 24,6 - 10,0 - 5
524.0,23,56000,RENT,8.0,MEDICAL,E,21600,21.21,9,Y,4,DEFAULT,"$40,001 - $60,000","$20,001+",21+,18 - 24,6 - 10,0 - 5
525.0,26,63000,RENT,2.0,DEBTCONSOLIDATION,B,21600,14.35,9,Y,3,DEFAULT,"$60,001 - $80,000","$20,001+",13.01 - 17,25 - 34,0 - 5,0 - 5
526.0,22,82000,RENT,3.0,PERSONAL,B,21600,13.61,9,Y,3,NO DEFAULT,"$80,001+","$20,001+",13.01 - 17,18 - 24,0 - 5,0 - 5
527.0,22,78000,RENT,6.0,DEBTCONSOLIDATION,A,21600,11.26,9,N,3,DEFAULT,"$60,001 - $80,000","$20,001+",9.01 - 13,18 - 24,6 - 10,0 - 5
528.0,22,19200,OWN,0.0,VENTURE,A,2400,10.59,2,NEW,3,NO DEFAULT,"$0 - $20,000","$0 - $5,000",9.01 - 13,18 - 24,0 - 5,0 - 5
529.0,24,112140,RENT,8.0,MEDICAL,A,21600,7.9,9,NEW,2,NO DEFAULT,"$80,001+","$20,001+",5 - 9,18 - 24,6 - 10,0 - 5
531.0,25,19200,OWN,4.0,EDUCATION,A,3000,11.99,5,N,4,DEFAULT,"$0 - $20,000","$0 - $5,000",9.01 - 13,25 - 34,0 - 5,0 - 5
532.0,24,59000,RENT,5.0,MEDICAL,C,21500,16.89,9,N,3,DEFAULT,"$40,001 - $60,000","$20,001+",13.01 - 17,18 - 24,6 - 10,0 - 5
533.0,24,70000,RENT,5.0,HOMEIMPROVEMENT,A,21500,9.99,9,N,3,DEFAULT,"$60,001 - $80,000","$20,001+",9.01 - 13,18 - 24,6 - 10,0 - 5
534.0,24,116000,RENT,5.0,EDUCATION,C,21500,15.33,9,Y,3,NO DEFAULT,"$80,001+","$20,001+",13.01 - 17,18 - 24,6 - 10,0 - 5
535.0,25,60000,RENT,5.0,EDUCATION,A,21450,7.29,9,N,4,DEFAULT,"$60,001 - $80,000","$20,001+",5 - 9,25 - 34,6 - 10,0 - 5
536.0,22,31000,RENT,5.0,DEBTCONSOLIDATION,B,21250,12.42,9,Y,3,DEFAULT,"$20,001 - $40,000","$20,001+",9.01 - 13,18 - 24,6 - 10,0 - 5
537.0,25,47052,RENT,5.0,VENTURE,B,21250,10.99,9,N,2,DEFAULT,"$40,001 - $60,000","$20,001+",9.01 - 13,25 - 34,6 - 10,0 - 5
538.0,25,51060,RENT,9.0,VENTURE,A,21250,6.91,9,N,2,DEFAULT,"$40,001 - $60,000","$20,001+",5 - 9,25 - 34,6 - 10,0 - 5
539.0,22,19200,MORTGAGE,6.0,DEBTCONSOLIDATION,B,5000,14.17,2,Y,2,DEFAULT,"$0 - $20,000","$5,001 - $10,000",13.01 - 17,18 - 24,6 - 10,0 - 5
540.0,22,53000,RENT,3.0,MEDICAL,A,21250,10.25,9,N,3,DEFAULT,"$40,001 - $60,000","$20,001+",9.01 - 13,18 - 24,0 - 5,0 - 5
542.0,24,56000,RENT,8.0,VENTURE,C,21250,15.95,9,Y,3,DEFAULT,"$40,001 - $60,000","$20,001+",13.01 - 17,18 - 24,6 - 10,0 - 5
543.0,24,65000,RENT,4.0,EDUCATION,C,21250,15.95,9,Y,4,DEFAULT,"$60,001 - $80,000","$20,001+",13.01 - 17,18 - 24,0 - 5,0 - 5
544.0,21,35000,RENT,3.0,VENTURE,B,21000,12.53,9,N,4,DEFAULT,"$20,001 - $40,000","$20,001+",9.01 - 13,18 - 24,0 - 5,0 - 5
545.0,22,19200,MORTGAGE,6.0,HOMEIMPROVEMENT,C,1400,14.91,2,Y,4,DEFAULT,"$0 - $20,000","$0 - $5,000",13.01 - 17,18 - 24,6 - 10,0 - 5
547.0,26,40000,RENT,3.0,MEDICAL,B,21000,6.54,9,N,4,DEFAULT,"$40,001 - $60,000","$20,001+",5 - 9,25 - 34,0 - 5,0 - 5
549.0,26,42000,RENT,0.0,MEDICAL,E,21000,17.26,9,Y,4,DEFAULT,"$40,001 - $60,000","$20,001+",17.01 - 21,25 - 34,0 - 5,0 - 5
550.0,23,63000,RENT,2.0,MEDICAL,A,21000,11.36,9,N,2,DEFAULT,"$60,001 - $80,000","$20,001+",9.01 - 13,18 - 24,0 - 5,0 - 5
551.0,26,19200,MORTGAGE,5.0,VENTURE,A,4000,7.51,6,N,4,DEFAULT,"$0 - $20,000","$0 - $5,000",5 - 9,25 - 34,6 - 10,0 - 5
552.0,22,59000,RENT,2.0,PERSONAL,A,21000,10.71,9,N,3,DEFAULT,"$40,001 - $60,000","$20,001+",9.01 - 13,18 - 24,0 - 5,0 - 5
553.0,22,70500,RENT,3.0,PERSONAL,B,21000,13.98,9,Y,4,NO DEFAULT,"$60,001 - $80,000","$20,001+",13.01 - 17,18 - 24,0 - 5,0 - 5
554.0,26,65219,RENT,11.0,DEBTCONSOLIDATION,C,21000,14.09,9,N,3,DEFAULT,"$60,001 - $80,000","$20,001+",13.01 - 17,25 - 34,11 - 15,0 - 5
555.0,22,75000,RENT,2.0,EDUCATION,A,21000,10.0,9,NEW,3,NO DEFAULT,"$60,001 - $80,000","$20,001+",9.01 - 13,18 - 24,0 - 5,0 - 5
556.0,22,19200,MORTGAGE,3.0,MEDICAL,C,5000,15.33,2,N,3,DEFAULT,"$0 - $20,000","$5,001 - $10,000",13.01 - 17,18 - 24,0 - 5,0 - 5
557.0,25,62047,RENT,9.0,MEDICAL,D,21000,16.32,9,Y,4,DEFAULT,"$60,001 - $80,000","$20,001+",13.01 - 17,25 - 34,6 - 10,0 - 5
558.0,24,79000,RENT,8.0,HOMEIMPROVEMENT,A,21000,7.9,9,NEW,2,NO DEFAULT,"$60,001 - $80,000","$20,001+",5 - 9,18 - 24,6 - 10,0 - 5
559.0,23,80000,RENT,3.0,MEDICAL,A,21000,11.99,9,NEW,3,NO DEFAULT,"$80,001+","$20,001+",9.01 - 13,18 - 24,0 - 5,0 - 5
560.0,24,84000,RENT,8.0,MEDICAL,A,21000,10.75,9,NEW,4,NO DEFAULT,"$80,001+","$20,001+",9.01 - 13,18 - 24,6 - 10,0 - 5
561.0,26,85000,RENT,3.0,HOMEIMPROVEMENT,B,21000,13.92,9,NEW,3,NO DEFAULT,"$80,001+","$20,001+",13.01 - 17,25 - 34,0 - 5,0 - 5
562.0,22,93000,RENT,1.0,EDUCATION,A,21000,9.91,9,NEW,3,NO DEFAULT,"$80,001+","$20,001+",9.01 - 13,18 - 24,0 - 5,0 - 5
563.0,26,81000,RENT,10.0,EDUCATION,D,21000,16.95,9,Y,3,DEFAULT,"$80,001+","$20,001+",13.01 - 17,25 - 34,11 - 15,0 - 5
564.0,26,97000,RENT,1.0,EDUCATION,A,21000,7.9,9,NEW,3,NO DEFAULT,"$80,001+","$20,001+",5 - 9,25 - 34,0 - 5,0 - 5
